iter	Passed	Remaining
806	1554	371
807	1555	369
808	1556	367
809	1557	365
810	1558	363
811	1559	361
812	1560	358
813	1561	356
814	1562	354
815	1565	353
816	1567	351
817	1568	349
818	1569	346
819	1570	344
820	1571	342
821	1572	340
822	1573	338
823	1575	336
824	1576	334
825	1578	332
826	1579	330
827	1580	328
828	1581	326
829	1582	324
830	1583	322
831	1584	320
832	1585	317
833	1586	315
834	1587	313
835	1588	311
836	1589	309
837	1590	307
838	1591	305
839	1594	303
840	1595	301
841	1596	299
842	1597	297
843	1598	295
844	1599	293
845	1600	291
846	1602	289
847	1603	287
848	1604	285
849	1605	283
850	1606	281
851	1608	279
852	1609	277
853	1610	275
854	1611	273
855	1612	271
856	1613	269
857	1614	267
858	1615	265
859	1616	263
860	1617	261
861	1618	259
862	1620	257
863	1621	255
864	1623	253
865	1624	251
866	1625	249
867	1626	247
868	1627	245
869	1628	243
870	1629	241
871	1630	239
872	1631	237
873	1632	235
874	1634	233
875	1635	231
876	1636	229
877	1639	227
878	1640	225
879	1641	223
880	1642	221
881	1643	219
882	1644	217
883	1645	215
884	1646	213
885	1647	211
886	1648	210
887	1650	208
888	1651	206
889	1653	204
890	1654	202
891	1656	200
892	1657	198
893	1658	196
894	1658	194
895	1659	192
896	1660	190
897	1662	188
898	1663	186
899	1664	184
900	1665	183
901	1666	181
902	1668	179
903	1669	177
904	1670	175
905	1671	173
906	1672	171
907	1673	169
908	1674	167
909	1675	165
910	1676	163
911	1677	161
912	1678	159
913	1679	158
914	1680	156
915	1683	154
916	1684	152
917	1685	150
918	1685	148
919	1687	146
920	1688	144
921	1689	142
922	1690	141
923	1691	139
924	1692	137
925	1693	135
926	1694	133
927	1697	131
928	1698	129
929	1699	127
930	1700	126
931	1701	124
932	1702	122
933	1703	120
934	1704	118
935	1705	116
936	1706	114
937	1707	112
938	1708	111
939	1709	109
940	1712	107
941	1713	105
942	1714	103
943	1715	101
944	1716	99
945	1717	98
946	1718	96
947	1719	94
948	1720	92
949	1721	90
950	1722	88
951	1723	86
952	1724	85
953	1728	83
954	1729	81
955	1730	79
956	1730	77
957	1732	75
958	1733	74
959	1734	72
960	1735	70
961	1736	68
962	1737	66
963	1738	64
964	1739	63
965	1741	61
966	1742	59
967	1744	57
968	1745	55
969	1746	54
970	1747	52
971	1748	50
972	1749	48
973	1750	46
974	1751	44
975	1752	43
976	1753	41
977	1754	39
978	1756	37
979	1757	35
980	1758	34
981	1760	32
982	1761	30
983	1762	28
984	1763	26
985	1764	25
986	1765	23
987	1766	21
988	1767	19
989	1768	17
990	1769	16
991	1772	14
992	1773	12
993	1774	10
994	1775	8
995	1776	7
996	1777	5
997	1778	3
998	1779	1
999	1780	0
